Start,End,Time,Bidirectional
Berowra,Mt Ku-Ring Gai,4,Yes
Berowra,Hornsby,10,Yes
Mt Ku-Ring Gai,Mount Colah,3,Yes
Mount Colah,Asquith,3,Yes
Asquith,Hornsby,3,Yes
Hornsby,Waitara,2,Yes
Waitara,Wahroonga,2,Yes
Wahroonga,Warrawee,2,Yes
Warrawee,Turramurra,2,Yes
Turramurra,Pymble,3,Yes
Pymble,Gordon,3,Yes
Gordon,Killara,2,Yes
Gordon,Chatswood,6,Yes
Killara,Lindfield,2,Yes
Lindfield,Roseville,2,Yes
Roseville,Chatswood,3,Yes
Chatswood,Atarmon,2,Yes
Chatswood,St Leonards,4,Yes
Atarmon,St Leonards,3,Yes
St Leonards,Wollstonecraft,3,Yes
St Leonards,North Sydney,6,Yes
Wollstonecraft,Waverton,2,Yes
Waverton,North Sydney,3,Yes
North Sydney,Milsons Point,2,Yes
Milsons Point,Wynyard,4,Yes
Wynyard,Town Hall,2,Yes
Town Hall,Central,3,Yes
Hornsby,Normanhurst,3,Yes
Hornsby,Epping,10,Yes
Normanhurst,Thornleigh,3,Yes
Thornleigh,Pennant Hills,2,Yes
Pennant Hills,Beecroft,3,Yes
Beecroft,Cheltenham,2,Yes
Cheltenham,Epping,3,Yes
Epping,Eastwood,2,Yes
Epping,Strathfield,9,Yes
Eastwood,Denistone,2,Yes
Eastwood,Rhodes,5,Yes
Denistone,West Ryde,2,Yes
West Ryde,Meadowbank,3,Yes
Meadowbank,Rhodes,2,Yes
Rhodes,Concord West,3,Yes
Rhodes,Strathfield,5,Yes
Concord West,North Strathfield,2,Yes
North Strathfield,Strathfield,2,Yes
Central,Redfern,2,Yes
Central,Strathfield,12,Yes
Redfern,Macdonaldtown,3,Yes
Redfern,Strathfield,11,Yes
Redfern,Burwood,10,Yes
Redfern,Ashfield,8,Yes
Redfern,Newtown,4,Yes
Macdonaldtown,Newtown,2,Yes
Newtown,Stanmore,2,Yes
Newtown,Ashfield,6,Yes
Stanmore,Petersham,2,Yes
Petersham,Lewisham,2,Yes
Lewisham,Summer Hill,2,Yes
Summer Hill,Ashfield,2,Yes
Ashfield,Croydon,3,Yes
Ashfield,Burwood,4,Yes
Croydon,Burwood,2,Yes
Burwood,Strathfield,3,Yes
Tallawong,Rouse Hill,2,Yes
Rouse Hill,Kellyville,3,Yes
Kellyville,Bella Vista,2,Yes
Bella Vista,Norwest,3,Yes
Norwest,Hills Showground,2,Yes
Hills Showground,Castle Hill,3,Yes
Castle Hill,Cherrybrook,2,Yes
Cherrybrook,Epping,6,Yes
Epping,Macquarie University,4,Yes
