Name,Daily_Passengers,Location
Berowra,3270,"-33.62344878916775, 151.15302817140895"
Mt Ku-Ring Gai,570,"-33.653168045041994, 151.1369620382525"
Mount Colah,1220,"-33.67151166126941, 151.11506206462323"
Asquith,3530,"-33.688765392444296, 151.1082948589636"
Hornsby,26640,"-33.703561248359705, 151.09834807114868"
Waitara,7750,"-33.70999945059616, 151.1044472994591"
Wahroonga,4790,"-33.71739484320278, 151.11696214555374"
Warrawee,3050,"-33.72428864708873, 151.12176539846928"
Turramurra,9170,"-33.73236019237686, 151.1283609772862"
Pymble,5480,"-33.744613802711505, 151.14199267215804"
Gordon,14730,"-33.7558028491355, 151.1543372950995"
Killara,5040,"-33.76548147595771, 151.1617059804787"
Lindfield,7870,"-33.77561096974262, 151.1692050773864"
Roseville,5830,"-33.78416016738154, 151.17732885431892"
Chatswood,56950,"-33.79800409081103, 151.18088752427778"
