Name,Daily_Passengers,Location
Berowra,"3,270","-33.62344878916775, 151.15302817140895"
Mt Ku-Ring Gai,570,"-33.653168045041994, 151.1369620382525"
Mount Colah,"1,220","-33.67151166126941, 151.11506206462323"
Asquith,"3,530","-33.688765392444296, 151.1082948589636"
Hornsby,"26,640","-33.703561248359705, 151.09834807114868"
Waitara,"7,750","-33.70999945059616, 151.1044472994591"
Wahroonga,"4,790","-33.71739484320278, 151.11696214555374"
Warrawee,"3,050","-33.72428864708873, 151.12176539846928"
Turramurra,"9,170","-33.73236019237686, 151.1283609772862"
Pymble,"5,480","-33.744613802711505, 151.14199267215804"
Gordon,"14,730","-33.7558028491355, 151.1543372950995"
Killara,"5,040","-33.76548147595771, 151.1617059804787"
Lindfield,"7,870","-33.77561096974262, 151.1692050773864"
Roseville,"5,830","-33.78416016738154, 151.17732885431892"
Chatswood,"56,950","-33.79800409081103, 151.18088752427778"
Atarmon,"12,330","-33.80886234435643, 151.18514595332843"
St Leonards,"38,000","-33.82241547827582, 151.1941691104307"
Wollstonecraft,"5,640","-33.83197064417154, 151.1917992288703"
Waverton,"4,640","-33.83787525167453, 151.1975696042687"
North Sydney,"67,190","-33.84111674463287, 151.2074232053009"
Milsons Point,"16,010","-33.84586423518028, 151.21189670590542"
Wynyard,"173,150","-33.86567784248656, 151.20613531940973"
Town Hall,"226,810","-33.87325332874709, 151.2070346520971"
Central,"233,970","-33.88272081009569, 151.20651688008556"
Redfern,"62,300","-33.8916415223102, 151.19889132824312"
Macdonaldtown,"2,500","-33.89660953844508, 151.1863105843083"
Newtown,"23,070","-33.89785723557127, 151.17960668383392"
Stanmore,"7,500","-33.894521966243104, 151.1639013113274"
Petersham,"7,350","-33.89380991985312, 151.1550944170816"
Lewisham,"6,200","-33.8931554842807, 151.14742403918422"
Summer Hill,"7,750","-33.8902869562006, 151.13878572329725"
Ashfield,"26,830","-33.88750487240862, 151.1258969206334"
Croydon,"5,350","-33.88310564104322, 151.11529122631816"
Burwood,"40,180","-33.87712270561161, 151.10428538117588"
Strathfield,"49,910","-33.871959812692666, 151.09447906025235"
Normanhurst,"3,640","-33.72080742999822, 151.09708223431744"
Thornleigh,"4,320","-33.731776847388396, 151.0783146625566"
Pennant Hills,"7,060","-33.738060204121496, 151.07239623982645"
Beecroft,"4,710","-33.749658601180364, 151.06638097218368"
Cheltenham,"2,880","-33.755728446573414, 151.0785695490641"
Epping,"25,500","-33.77275163450705, 151.08196604669925"
Eastwood,"16,820","-33.79010957162102, 151.0820747017319"
Denistone,"1,340","-33.799571292601186, 151.0867289605078"
West Ryde,"9,460","-33.80734133275845, 151.09020593812863"
Meadowbank,"10,300","-33.81597925104732, 151.0901065394409"
Rhodes,"21,840","-33.83056692462465, 151.087059914035"
Concord West,"4,890","-33.84849381941757, 151.08561503951583"
North Strathfield,"5,970","-33.858948158638206, 151.08819444387782"
Tallawong,"2,500","-33.69155330414296, 150.90600934170322"
Rouse Hill,"6,000","-33.6919607824674, 150.92437986563752"
Kellyville,"8,000","-33.71353480888214, 150.93533635504676"
Bella Vista,"11,000","-33.730548171620384, 150.94423493366276"
Norwest,"6,000","-33.73445439047416, 150.96368928524674"
Hills Showground,"7,000","-33.72804671807569, 150.98686422990042"
Castle Hill,"13,000","-33.731570892750014, 151.0074882877244"
Cherrybrook,"8,000","-33.73669022333961, 151.03186193489964"
Macquarie University,"25,290","-33.77719159428722, 151.11820153337777"
Macquarie Park,"9,710","-33.785177552067616, 151.12835920719"
North Ryde,"5,710","-33.794514553606504, 151.13802398846065"
Homebush,"6,810","-33.86674687990985, 151.0860664946239"
Flemington,"9,470","-33.86484084951063, 151.07022834253257"
Lidcombe,"27,740","-33.86355273771468, 151.04477718428515"
Auburn,"28,350","-33.8492527692842, 151.03279076577232"
Clyde,"3,300","-33.83575044915596, 151.01695672825883"
Granville,"13,050","-33.83284221081737, 151.0118652672295"
Harris Park,"4,250","-33.82335567454209, 151.00776020985728"
Parramatta,"92,950","-33.8172040474383, 151.00488617207003"
Westmead,"15,400","-33.808491867627055, 150.98788461205788"
Wentworthville,"8,640","-33.807176725579474, 150.97266104453269"
Pendle Hill,"7,280","-33.80143962110018, 150.95636459037"
Toongabbie,"5,720","-33.787374238353024, 150.95143000650742"
Seven Hills,"14,640","-33.77437078486457, 150.93615031644134"
Blacktown,"35,200","-33.76861961244888, 150.90741514512217"
Doonside,"5,870","-33.76383974493935, 150.8692215857484"
Rooty Hill,"6,670","-33.77147829931052, 150.8451610043804"
Mount Druitt,"16,190","-33.769540437198934, 150.82009126293318"
St Mary's,"10,090","-33.76206804300568, 150.7751573654032"
Werrington,"2,400","-33.759190018348505, 150.75770677376744"
Kingswood,"5,250","-33.75833822217043, 150.7205274705547"
Penrith,"17,130","-33.75003869109963, 150.6958608438714"
Emu Plains,"3,340","-33.74565372069082, 150.67185313408316"
Marayong,"2,310","-33.746299808304, 150.9002814613991"
Quakers Hill,"8,440","-33.72735112430899, 150.88629055353476"
Schofields,"4,400","-33.70461149851124, 150.87393099473505"
Riverstone,"1,920","-33.679129177404704, 150.86031064533603"
Vineyard,280,"-33.65049690544507, 150.85113645867136"
Mulgrave,740,"-33.626583677409045, 150.83048899597"
Windsor,"1,910","-33.613814768730315, 150.8112628127668"
Claredon,190,"-33.60857477874858, 150.78789305109353"
Richmond,"2,420","-33.59890394880124, 150.75258486166138"
