Route,Modifier,Time,Schedule
Berowra-Hornsby,,13,"Berowra,Mt Ku-Ring Gai,Mount Colah,Asquith,Hornsby"
Hornsby-Gordon,,14,"Hornsby,Waitara,Wahroonga,Warrawee,Turramurra,Pymble,Gordon"
Gordon-Chatswood,,9,"Gordon,Killara,Lindfield,Roseville,Chatswood"
Gordon-Chatswood,Fast,6,"Gordon,Chatswood"
Lindfield-Chatswood,,5,"Lindfield,Roseville,Chatswood"
Chatswood-North Sydney,,13,"Chatswood,Atarmon,St Leonards,Wollstonecraft,Waverton,North Sydney"
Chatswood-North Sydney,Fast,10,"Chatswood,St Leonards,North Sydney"
North Sydney-Wynyard,,6,"North Sydney,Milsons Point,Wynyard"
Wynyard-Central,,5,"Wynyard,Town Hall,Central"
Central-Wynyard,City Circle,,"Central,Museum,St James,Circular Quay,Wynyard"
Bondi Junction-Central,,,"Bondi Junction,Edgecliff,Kings Cross,Martin Place,Town Hall,Central"
Hornsby-Epping,,16,"Hornsby,Normanhurst,Thornleigh,Pennant Hills,Beecroft,Cheltenham,Epping"
Epping-Rhodes,,11,"Epping,Eastwood,Denistone,West Ryde,Meadowbank,Rhodes"
Epping-Rhodes,Fast,7,"Epping,Eastwood,Rhodes"
Rhodes-Strathfield,,7,"Rhodes,Concord West,North Strathfield,Strathfield"
Rhodes-Strathfield,Fast,5,"Rhodes,Strathfield"
Epping-Strathfield,Fast,9,"Epping,Strathfield"
Tallawong-Chatswood,,36,"Tallawong,Rouse Hill,Kellyville,Bella Vista,Norwest,Hills Showground,Castle Hill,Cherrybrook,Epping,Macquarie University,Macquarie Park,North Ryde,Chatswood"
Emu Plains-Mount Druitt,,15,"Emu Plains,Penrith,Kingswood,Werrington,St Mary's,Mount Druitt"
Mount Druitt-Blacktown,,10,"Mount Druitt,Rooty Hill,Doonside,Blacktown"
Mount Druitt-Blacktown,Fast,8,"Mount Druitt,Blacktown"
Richmond-Schofields,,20,"Richmond,Claredon,Windsor,Mulgrave,Vineyard,Riverstone,Schofields"
Schofields-Blacktown,,9,"Schofields,Quakers Hill,Marayong,Blacktown"
Blacktown-Parramatta,,17,"Blacktown,Seven Hills,Toongabbie,Pendle Hill,Wentworthville,Westmead,Parramatta"
Blacktown-Parramatta,Fast,9,"Blacktown,Parramatta"
Westmead-Parramatta,,3,"Westmead,Parramatta"
Parramatta-Granville,,5,"Parramatta,Harris Park,Granville"
Parramatta-Granville,Fast,4,"Parramatta,Granville"
Parramatta-Strathfield,Fast,12,"Parramatta,Strathfield"
Parramatta-Strathfield,Semi-Fast,15,"Parramatta,Granville,Auburn,Lidcombe,Strathfield"
Granville-Auburn,,4,"Granville,Clyde,Auburn"
Granville-Auburn,Fast,3,"Granville,Auburn"
Auburn-Lidcombe,,3,"Auburn,Lidcombe"
Lidcombe-Strathfield,,7,"Lidcombe,Flemington,Homebush,Strathfield"
Lidcombe-Strathfield,Fast,5,"Lidcombe,Strathfield"
Flemington-Strathfield,,4,"Flemington,Homebush,Strathfield"
Strathfield-Central,Super Fast,12,"Strathfield,Central"
Strathfield-Central,Fast,13,"Strathfield,Redfern,Central"
Strathfield-Central,Fast2,15,"Strathfield,Burwood,Redfern,Central"
Strathfield-Central,Semi-Fast,19,"Strathfield,Burwood,Ashfield,Newtown,Redfern,Central"
