Name,Gap,Offset,Finish,Schedule Segments
Berowra-Central,30,0,"1,200","Berowra-Hornsby,Hornsby-Gordon,Gordon-Chatswood,Chatswood-North Sydney,North Sydney-Wynyard,Wynyard-Central"
Central-Berowra,30,0,"1,200","Central-Wynyard,Wynyard-North Sydney,North Sydney-Chatswood,Chatswood-Gordon,Gordon-Hornsby,Hornsby-Berowra"
Hornsby-Central via Chatswood,30,0,"1,200","Hornsby-Gordon,Gordon-Chatswood,Chatswood-North Sydney,North Sydney-Wynyard,Wynyard-Central"
Central-Hornsby via Chatswood,30,0,"1,200","Central-Wynyard,Wynyard-North Sydney,North Sydney-Chatswood,Chatswood-Gordon,Gordon-Hornsby"
Gordon-Central,15,0,"1,200","Gordon-Chatswood,Chatswood-North Sydney,North Sydney-Wynyard,Wynyard-Central"
Central-Gordon,15,0,"1,200","Central-Wynyard,Wynyard-North Sydney,North Sydney-Chatswood,Chatswood-Gordon"
Hornsby-Central via Epping,15,0,"1,200","Hornsby-Epping,Epping-Rhodes,Rhodes-Strathfield,Strathfield-Central Fast"
Central-Hornsby via Epping,15,0,"1,200","Central-Strathfield Fast,Strathfield-Rhodes,Rhodes-Epping,Epping-Hornsby"
Epping-Central,15,0,"1,200","Epping-Rhodes,Rhodes-Strathfield,Strathfield-Central Fast"
Central-Epping,15,0,"1,200","Central-Strathfield Fast,Strathfield-Rhodes,Rhodes-Epping"
Tallawong-Chatswood,10,0,"1,200",Tallawong-Chatswood
Chatswood-Tallawong,10,0,"1,200",Chatswood-Tallawong
Bondi Junction-Central,10,0,"1,200",Bondi Junction-Central
Central-Bondi Junction,10,0,"1,200",Central-Bondi Junction
Emu Plains-Central,15,0,"1,200","Emu Plains-Mount Druitt,Mount Druitt-Blacktown,Blacktown-Parramatta Fast,Parramatta-Strathfield Fast,Strathfield-Central Fast"
Central-Emu Plains,15,0,"1,200","Central-Strathfield Fast,Strathfield-Parramatta Fast,Parramatta-Blacktown Fast,Blacktown-Mount Druitt,Mount Druitt-Emu Plains"
Richmond-Central,30,0,"1,200","Richmond-Schofields,Schofields-Blacktown,Blacktown-Parramatta Fast,Parramatta-Strathfield Fast,Strathfield-Central Fast"
Central-Richmond,30,0,"1,200","Central-Strathfield Fast,Strathfield-Parramatta Fast,Parramatta-Blacktown Fast,Blacktown-Schofields,Schofields-Richmond"
Schofields-Central,30,0,"1,200","Schofields-Blacktown,Blacktown-Parramatta Fast,Parramatta-Strathfield Semi-Fast,Strathfield-Central Fast"
Central-Schofields,30,0,"1,200","Central-Strathfield Fast,Strathfield-Parramatta Semi-Fast,Parramatta-Blacktown Fast,Blacktown-Schofields"
Blacktown-Central,15,0,"1,200","Blacktown-Parramatta,Parramatta-Strathfield Semi-Fast,Strathfield-Central Fast"
Central-Blacktown,15,0,"1,200","Central-Strathfield Fast,Strathfield-Parramatta Semi-Fast,Parramatta-Blacktown"
Parramatta-Central,15,0,"1,200","Parramatta-Granville,Granville-Auburn,Auburn-Lidcombe,Lidcombe-Strathfield,Strathfield-Central Semi-Fast"
